Total part count:,,204,,,,BOM Cost:,$51.26,,
,,,,,,,,,
QTY,Value,Device,Parts,Description,Digikey P/N,Price at QTY,Total $,URL,
16,0.1 uF,C-EU050-024X044,"C9, C56, C58, C59, C60, C61, C62, C63,C64, C65, C66, C67, C70, C71, C72, C73","CAPACITOR, European symbol",445-8421-ND,$0.20,$3.20,http://www.digikey.com/product-detail/en/FK18X7R1E104K/445-8421-ND/2815351,
3,22 pF,C-TRIMMTZ03,"C57, C68, C69",Trimm capacitor,SG3009-ND,$1.84,$5.52,http://www.digikey.com/product-detail/en/GYC65000/SG3009-ND/65256,
1,1 uF,CPOL-EUE5-4,C50,"POLARIZED CAPACITOR, European symbol",493-12600-1-ND,$0.15,$0.15,http://www.digikey.com/product-detail/en/UVK2A010MDD1TD/493-12600-1-ND/4328681,
8,20 MHz,CRYSTALHC49S,"Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q9",CRYSTAL,CTX1106-ND,$0.36,$2.88,http://www.digikey.com/product-detail/en/ATS20A/CTX1106-ND/2640038,
3,1N4007,,"D1, D2, D3",DIODE,1N4007-TPMSCT-ND,$0.11,$0.33,http://www.digikey.com/product-detail/en/1N4007-TP/1N4007-TPMSCT-ND/773694,
4,1N4148,DIODE-D-5,"D4, D5, D6, D7",DIODE,1N4148TACT-ND,$0.10,$0.40,http://www.digikey.com/product-detail/en/1N4148TA/1N4148TACT-ND/1532747,
1,-,PINHD-1X1,JP27,PIN HEADER,-,-,-,,
15,-,PINHD-1X2,"JP5, JP11, JP12, JP15, JP16, JP17, JP18, JP19, JP20, JP21, JP22, JP23, JP24, JP25, JP26",PIN HEADER,-,-,-,,
3,-,PINHD-2X3,"JP1, JP3, JP4",PIN HEADER,-,-,-,,
1,10k,R-EU_0204/5,R14,"RESISTOR, European symbol",CF18JT10K0CT-ND,$0.09,$0.09,http://www.digikey.com/product-detail/en/CF18JT10K0/CF18JT10K0CT-ND/2022766,
18,0.1,C-EU050-024X044,"C6, C7, C8, C10, C11, C12, C13, C14, C15, C16, C19, C22, C23, C24, C39, C42, C44, C45","CAPACITOR, European symbol",445-8421-ND,$0.20,$3.60,http://www.digikey.com/product-detail/en/FK18X7R1E104K/445-8421-ND/2815351,
6,10,R-EU_0204/5,"R2, R7, R17, R24, R51, R55","RESISTOR, European symbol",CF18JT10R0CT-ND,$0.07,$0.39,http://www.digikey.com/product-detail/en/CF18JT10R0/CF18JT10R0CT-ND/2022697,
2,100,R-EU_0204/5,"R18, R30","RESISTOR, European symbol",CF18JT100RCT-ND,$0.09,$0.18,http://www.digikey.com/product-detail/en/CF18JT100R/CF18JT100RCT-ND/2022718,
2,100k,R-EU_0204/5,"R35, R41","RESISTOR, European symbol",CF18JT100KCT-ND,$0.09,$0.18,http://www.digikey.com/product-detail/en/CF18JT100K/CF18JT100KCT-ND/2022790,
2,100p,C-EU050-024X044,"C17, C18","CAPACITOR, European symbol",478-4214-1-ND,$0.25,$0.50,http://www.digikey.com/product-detail/en/5MQ101KOAAM/478-4214-1-ND/1220585,
5,100p,C-EUC1206,"C1, C2, C3, C4, C5","CAPACITOR, European symbol",1276-2799-1-ND,$0.12,$0.60,http://www.digikey.com/product-detail/en/CL31C101JCCNFNC/1276-2799-1-ND/3890885,
8,10k,R-EU_0204/5,"R8, R22, R23, R33, R39, R42, R46, R56","RESISTOR, European symbol",CF18JT10K0CT-ND,$0.09,$0.72,http://www.digikey.com/product-detail/en/CF18JT10K0/CF18JT10K0CT-ND/2022766,
1,10k,TRIM_EU-CA6V,R26,POTENTIOMETER,3306F-103-ND,$0.41,$0.41,http://www.digikey.com/product-detail/en/3306F-1-103/3306F-103-ND/84666,
3,10n,C-EU050-024X044,"C47, C48, C49","CAPACITOR, European symbol",445-8421-ND,$0.20,$0.60,http://www.digikey.com/product-detail/en/FK18X7R1E104K/445-8421-ND/2815351,
1,10u,CPOL-EUE2.5-5,C28,"POLARIZED CAPACITOR, European symbol",493-12772-1-ND,$0.12,$0.12,http://www.digikey.com/product-detail/en/UVR1E100MDD6TP/493-12772-1-ND/4328365,
1,10,R-EU_0204/5,R48,"RESISTOR, European symbol",CF18JT10R0CT-ND,$0.07,$0.07,http://www.digikey.com/product-detail/en/CF18JT10R0/CF18JT10R0CT-ND/2022697,
